Sample_Name	Description	Size	1
SRR8547942	coral metagenome	18765	2
SRR8547943	coral metagenome	22912	15
SRR8547944	coral metagenome	28399	43
SRR8547946	coral metagenome	20426	25
SRR8547947	coral metagenome	25165	4
SRR8547948	coral metagenome	9304	20
SRR8547961	coral metagenome	14828	1
SRR8547962	coral metagenome	9056	17
SRR8547964	coral metagenome	289806	132
SRR8547966	coral metagenome	7128	13
SRR8547968	coral metagenome	14421	2
SRR8547970	coral metagenome	17776	6
SRR8547972	coral metagenome	11342	2
SRR8547974	coral metagenome	11356	8
SRR8547976	coral metagenome	14667	16
SRR8547977	coral metagenome	7738	17
SRR8547978	coral metagenome	21262	24
SRR8547979	coral metagenome	12395	6
SRR8547981	coral metagenome	19700	5
SRR8547986	coral metagenome	21895	25
SRR8547987	coral metagenome	15867	17
SRR8547988	coral metagenome	16412	23
SRR8547989	coral metagenome	43509	5
SRR8547990	coral metagenome	24987	1
SRR8547994	coral metagenome	17224	25
SRR8547995	coral metagenome	8832	6
SRR8547996	coral metagenome	16228	1
SRR8547997	coral metagenome	16209	9
SRR8547998	coral metagenome	10676	6
SRR8548000	coral metagenome	19097	12
SRR8548001	coral metagenome	28222	5
SRR8548003	coral metagenome	11474	11
SRR8548004	coral metagenome	36910	11
SRR8548005	coral metagenome	36475	4
SRR8548006	coral metagenome	6247	3
SRR8548009	coral metagenome	37809	1
SRR8548010	coral metagenome	23593	79
SRR8548011	coral metagenome	15240	6
SRR8548012	coral metagenome	18019	15
SRR8548013	coral metagenome	22923	1
SRR8548014	coral metagenome	21462	71
SRR8548015	coral metagenome	58773	2
SRR8548016	coral metagenome	20375	39
SRR8548018	coral metagenome	13922	10
SRR8548021	coral metagenome	12014	2
SRR8548022	coral metagenome	16381	12
SRR8548023	coral metagenome	11678	9
SRR8548024	coral metagenome	14089	2
SRR8548025	coral metagenome	8183	8
SRR8548027	coral metagenome	22013	17
SRR8548030	coral metagenome	8734	3
SRR8548031	coral metagenome	22803	1
SRR8548032	coral metagenome	21509	23
SRR8548033	coral metagenome	16709	7
SRR8548035	coral metagenome	19193	21
SRR8548036	coral metagenome	22012	38
SRR8548037	coral metagenome	17782	17
SRR8548038	coral metagenome	19504	22
SRR8548040	coral metagenome	21447	7
SRR8548043	coral metagenome	22186	9
SRR8548044	coral metagenome	10422	1
SRR8548045	coral metagenome	27852	56
SRR8548046	coral metagenome	19146	28
SRR8548061	coral metagenome	42976	2
SRR8548062	coral metagenome	8590	54
SRR8548064	coral metagenome	17398	23
SRR8548068	coral metagenome	19511	13
SRR8548069	coral metagenome	16760	6
SRR8548070	coral metagenome	22752	5
SRR8548071	coral metagenome	35326	12
SRR8548084	coral metagenome	17180	2
SRR8548085	coral metagenome	20130	11
SRR8548087	coral metagenome	17048	5
SRR8548088	coral metagenome	19562	4
SRR8548090	coral metagenome	19567	42
SRR8548091	coral metagenome	12738	44
SRR8548092	coral metagenome	14254	14
SRR8548115	coral metagenome	28344	4
SRR8548116	coral metagenome	20380	8
SRR8548117	coral metagenome	25731	3
SRR8548118	coral metagenome	328486	208
SRR8548119	coral metagenome	14315	29
SRR8548120	coral metagenome	21186	4
SRR8548121	coral metagenome	15647	4
SRR8548122	coral metagenome	13244	2
SRR8548123	coral metagenome	19644	20
SRR8548124	coral metagenome	12905	37
SRR8548140	coral metagenome	10173	70
SRR8548141	coral metagenome	19546	13
SRR8548142	coral metagenome	10961	76
SRR8548143	coral metagenome	18379	5
SRR8548144	coral metagenome	30013	22
SRR8548145	coral metagenome	18220	30
SRR8548146	coral metagenome	10079	10
SRR8548147	coral metagenome	30875	2
SRR8548148	coral metagenome	18347	8
SRR8548150	coral metagenome	11130	5
SRR8548151	coral metagenome	10230	34
SRR8548153	coral metagenome	41395	69
SRR8548154	coral metagenome	13493	1
SRR8548156	coral metagenome	31860	18
SRR8548157	coral metagenome	33139	3
SRR8548158	coral metagenome	37168	2
SRR8548159	coral metagenome	28285	1
SRR8548160	coral metagenome	17893	27
SRR8559028	marine metagenome	113366	1
SRR8559029	marine metagenome	114731	1
SRR8559032	marine metagenome	178406	5
SRR8559033	marine metagenome	153960	2
SRR8559038	marine metagenome	134463	1
SRR8559043	marine metagenome	89678	1
SRR8596042	coral metagenome	53126	383
SRR8596043	coral metagenome	3243	2
SRR8596044	coral metagenome	17270	327
SRR8596045	coral metagenome	36956	73
SRR8596046	coral metagenome	99942	67
SRR8596047	coral metagenome	9563	23
SRR8596048	coral metagenome	6955	826
SRR8596049	coral metagenome	31673	32
SRR8596050	coral metagenome	92693	529
SRR8596051	coral metagenome	2666	12
SRR8596052	coral metagenome	25415	902
SRR8596053	coral metagenome	99634	61
SRR8596054	coral metagenome	39244	69
SRR8596055	coral metagenome	98063	222
SRR8596056	coral metagenome	42827	594
SRR8596057	coral metagenome	28256	98
SRR8596058	coral metagenome	44371	87
SRR8596059	coral metagenome	120205	281
SRR8596060	coral metagenome	65516	56
SRR8596061	coral metagenome	6250	1253
SRR8596062	coral metagenome	77777	114
SRR8596063	coral metagenome	45125	36
SRR8596064	coral metagenome	86335	219
SRR8596065	coral metagenome	15015	41
SRR8596066	coral metagenome	11964	18
SRR8596067	coral metagenome	97830	520
SRR8596068	coral metagenome	70192	6782
SRR8596073	coral metagenome	27131	111
SRR8596078	coral metagenome	9499	2
SRR8596081	coral metagenome	9357	66
SRR8596083	coral metagenome	49922	121
SRR8596084	coral metagenome	33223	290
SRR8596085	coral metagenome	112002	79
SRR8596086	coral metagenome	22797	6889
SRR8596087	coral metagenome	41669	282
SRR8596088	coral metagenome	21782	195
SRR8596089	coral metagenome	18597	184
SRR8596090	coral metagenome	82815	71
SRR8596092	coral metagenome	110284	189
SRR8596093	coral metagenome	37516	418
SRR8596095	coral metagenome	13977	106
SRR8596096	coral metagenome	19477	3
SRR8596098	coral metagenome	198535	10
SRR8596101	coral metagenome	16324	443
SRR8596102	coral metagenome	31052	148
SRR8596103	coral metagenome	97029	1232
SRR8596104	coral metagenome	6660	32
SRR8596105	coral metagenome	11204	19
SRR8596106	coral metagenome	2726	3
SRR8644137	mouse gut metagenome	21238	1
