Origins	Sample-Number	1
Schizothorax zarudnyi	1	1
beach sand metagenome	180	1
coral metagenome	2795	14
coral reef metagenome	161	10
fish gut metagenome	1000	1
food metagenome	2119	1
gut metagenome	42163	7
marine metagenome	37438	15
metagenome	18630	5
mollusc metagenome	157	1
seawater metagenome	3225	1
skin metagenome	1977	31
